Movie Name,Director(s),Principal Cast(s),Cast(s)
Wild Strawberries,Ingmar Bergman,"Bibi Andersson, Björn Bjelfvenstam, Folke Sundquist, Gertrud Fridh, Gunnar Björnstrand, Gunnel Broström, Ingrid Thulin, Jullan Kindahl, Naima Wifstrand, Victor Sjöström","Åke Fridell, Gunnar Sjöberg, Max von Sydow, Sif Ruud, Yngve Nordwall"
Ghost World,Terry Zwigoff,"Steve Buscemi, Thora Birch","Bob Balaban, Brad Renfro, Brian George, Charles C. Stevenson Jr., Dave Sheridan, Debra Azar, Illeana Douglas, Pat Healy, Rini Bell, Scarlett Johansson, Stacey Travis, T.J. Thyne, Tom McGowan"
Crime + Punishment,Stephen T. Maing,"Manuel 'Manny' Gomez, Rukia Lumumba, Sandy Gonzales",
The Seventh Seal,Ingmar Bergman,"Bengt Ekerot, Bertil Anderberg, Bibi Andersson, Gunnar Björnstrand, Gunnel Lindblom, Inga Gill, Inga Landgré, Maud Hansson, Max von Sydow, Nils Poppe","Åke Fridell, Anders Ek, Erik Strandmark, Gunnar Olsson, Siv Aleros"
Y Tu Mamá También,Alfonso Cuarón,"Gael García Bernal, Maribel Verdú","Ana López Mercado, Andrés Almeida, Arturo Ríos, Daniel Giménez Cacho, Diana Bracho, Diego Luna, Emilio Echevarría, Giselle Audirac, Juan Carlos Remolina, Liboria Rodríguez, María Aura, Marta Aura, Nathan Grinberg, Verónica Langer"
Paddington 2,Paul King,"Ben Miller, Ben Whishaw, Brendan Gleeson, Daniel Stisen, Helena Holmes, Hugh Bonneville, Hugh Grant, Imelda Staunton, Jessica Hynes, Jim Broadbent, Julie Walters, Madeleine Harris, Marie-France Alvarez, Michael Gambon, Noah Taylor, Peter Capaldi, Richard Ayoade, Sally Hawkins, Samuel Joslin","Alex Jordan, Ben Miller, Ben Whishaw, Brendan Gleeson, Daniel Stisen, Deepak Anand, Emeson Nwolie, Helena Holmes, Hugh Bonneville, Hugh Grant, Imelda Staunton, Jackson Kai, Jag Patel, Jamie Demetriou, Jason Wright, Javone Prince, Jermaine Humes, Jessica Hynes, Jim Broadbent, Joanna Lumley, Julie Walters, Kobna Holdbrook-Smith, Kya Garwood, Madeleine Harris, Marlonde Pierre, Nicholas Woodeson, Noah Taylor, Peter Capaldi, Richard Ayoade, Robbie Gee, Sally Hawkins, Samuel Joslin, Sanjeev Bhaskar, Tom Davis"
The Little Mermaid,"John Musker, Ron Clements","Buddy Hackett, Christopher Daniel Barnes, Edie McClurg, Jason Marin, Jodi Benson, Kenneth Mars, Paddi Edwards, Pat Carroll, René Auberjonois, Samuel E. Wright","Ben Wright, Debbie Shapiro Gravitte, Hamilton Camp, Robert Weil, Will Ryan"
City Hall,Frederick Wiseman,Marty Walsh,
Capote,Bennett Miller,"Catherine Keener, Philip Seymour Hoffman","Allie Mickelson, Andrew Farago, Bronwen Coleman, Chris Cooper, Craig Archibald, David Wilson Barnes, Kate Shindle, Kelci Stephenson, Ken Krotowich, Kwesi Ameyaw, Michael J. Burg, R.D. Reid, Rob McLaughlin"
The Death of Stalin,Armando Iannucci,"Adrian McLoughlin, Andrea Riseborough, Jason Isaacs, Jeffrey Tambor, Jonathan Aris, Justin Edwards, Michael Palin, Olga Kurylenko, Paddy Considine, Paul Ready, Richard Brake, Roger Ashton-Griffiths, Rupert Friend, Simon Russell Beale, Steve Buscemi, Sylvestra Le Touzel, Tom Brooke, Yulya Muhrygina","Alexandr Piskunov, Andrey Korzhenevskiy, Andy Gathergood, Cara Horgan, Dermot Crowley, Diana Quick, Jeremy Limb, Jonathan Aris, Justin Edwards, Nicholas Woodeson, Paul Ready, Paul Whitehouse, Roger Ashton-Griffiths, Simon Russell Beale, Sylvestra Le Touzel, Tom Brooke, Yulya Muhrygina"
Miracle on 34th Street,George Seaton,"Edmund Gwenn, Gene Lockhart, Jack Albertson, Jerome Cowan, John Payne, Maureen O'Hara, Natalie Wood, Philip Tonge, Porter Hall, William Frawley","Dorothy Christy, Harry Antrim, Kevin Burke, Lela Bliss, Walden Boyle"
Strangers on a Train,Alfred Hitchcock,"Farley Granger, Howard St. John, John Brown, Jonathan Hale, Kasey Rogers, Leo G. Carroll, Marion Lorne, Patricia Hitchcock, Robert Walker, Ruth Roman","Joel Allen, Monya Andre, Murray Alper, Norma Varden, Robert Gist"
Tulpan,Sergei Dvortsevoy,,"Askhat Kuchencherekov, Bereke Turganbayev, Ondas Besikbasov, Samal Esljamova, Tolepbergen Baisakalov"
Manuscripts Don't Burn,Mohammad Rasoulof,,
In Transit,"Albert Maysles, Benjamin Wu, David Usui, Lynn True, Nelson Walker III",,
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Abbie Cornish, Alejandro Barrios, Caleb Landry Jones, Clarke Peters, Darrell Britt-Gibson, Frances McDormand, Jason Redford, John Hawkes, Kathryn Newton, Kerry Condon, Lucas Hedges, Peter Dinklage, Riya May Atwood, Sam Rockwell, Samara Weaving, Woody Harrelson, Željko Ivanek","Abbie Cornish, Amanda Mason Warren, Brendan Sexton III, Caleb Landry Jones, Clarke Peters, Frances McDormand, John Hawkes, Kathryn Newton, Kerry Condon, Lucas Hedges, Malaya Rivera Drew, Nick Searcy, Peter Dinklage, Sam Rockwell, Samara Weaving, Sandy Martin, Selah Atwood, Woody Harrelson, Željko Ivanek"
Quest,Jonathan Olshefski,"Adia Dillon, Christine'a Rainey, Christopher Rainey, David Barnes, Isaiah Byrd, James Blakely, Nicole Byrd, P.J. Rainey, Price, William Withers","Alfonso Glenn, Daniel Moll, Kevin V. Kelley, Meatball, Tyrone Moore"
Au Revoir les Enfants,Louis Malle,"Benoît Henriet, Francine Racette, François Berléand, François Négret, Gaspard Manesse, Pascal Rivet, Peter Fitz, Philippe Morier-Genoud, Raphael Fejtö, Stanislas Carré de Malberg","Arnaud Henriet, Jean-Sébastien Chauvin, Luc Etienne, Richard Leboeuf, Xavier Legrand"
A Film Unfinished,Yael Hersonski,"Alexander Beyer, Rüdiger Vogler","Alexander Beyer, Rüdiger Vogler"
Things to Come,Mia Hansen-Løve,,"André Marcon, Charline Bourgeois-Tacquet, Edith Scob, Elise Lhomeau, Grégoire Montana, Guy-Patrick Sainderichin, Isabelle Huppert, Larissa Guist, Lina Benzerti, Lionel Dray, Marion Ploquin, Rachel Arditi, Roman Kolinka, Sarah Lepicard, Solal Forte, Yves Heck"
The Grand Budapest Hotel,Wes Anderson,"Adrien Brody, Bill Murray, Edward Norton, F. Murray Abraham, Harvey Keitel, Jeff Goldblum, Jude Law, Léa Seydoux, Mathieu Amalric, Ralph Fiennes, Saoirse Ronan, Willem Dafoe","Adrien Brody, Bill Murray, Bob Balaban, Edward Norton, F. Murray Abraham, Harvey Keitel, Jason Schwartzman, Jeff Goldblum, Jude Law, Léa Seydoux, Owen Wilson, Ralph Fiennes, Saoirse Ronan, Tilda Swinton, Tom Wilkinson, Willem Dafoe"
Winter Sleep,Nuri Bilge Ceylan,,"Ayberk Pekcan, Demet Akbag, Ekrem Ilhan, Emirhan Doruktutan, Fatma Deniz Yildiz, Haluk Bilginer, Mehmet Ali Nuroglu, Melisa Sözen, Nadir Saribacak, Nejat Isler, Rabia Özel, Serhat Mustafa Kiliç, Tamer Levent"
A Star Is Born,Bradley Cooper,"Alec Baldwin, Andrew Dice Clay, Anthony Ramos, Bonnie Somerville, Bradley Cooper, D.J. 'Shangela' Pierce, Dave Chappelle, Eddie Griffin, Greg Grunberg, Lady Gaga, Marlon Williams, Michael Harney, Rafi Gavron, Sam Elliott, Willam Belli","Amanda Fields, Andrew Dice Clay, Andrew Michaels, Anthony Ramos, Barry Shabaka Henley, Bonnie Somerville, Bradley Cooper, Brandi Carlile, Carlo Sciortino, D.J. 'Shangela' Pierce, Dave Chappelle, Eddie Griffin, Erik Landreth, Eunice Chiweshe Goldstein, Gabe Fazio, Greg Grunberg, Jacob Taylor, Joseph Kelly, Lady Gaga, Lukas Nelson, Michael D. Roberts, Michael Harney, Presley Cash, Rafi Gavron, Rebecca Field, Ron Rifkin, Sam Elliott, Sean Ayub, Steven Ciceron, Willam Belli"
Citizenfour,Laura Poitras,"Edward Snowden, Glenn Greenwald","Barack Obama, Edward Snowden, Ewen MacAskill, Glenn Greenwald, Jacob Appelbaum, Jeremy Scahill, Julian Assange, Kevin Bankston, Laura Poitras, Lindsay Mills, William Binney"
Time Out,Laurent Cantet,"Aurélien Recoing, Karin Viard","Christophe Charles, Didier Perez, Elisabeth Joinet, Félix Cantet, Jean-Pierre Mangeot, Marie Cantet, Maxime Sassier, Monique Mangeot, Nicolas Kalsch, Nigel Palmer, Olivier Lejoubioux, Philippe Jouannet, Serge Livrozet"
The Blue Angel (re-release),Josef von Sternberg,"Emil Jannings, Hans Albers, Kurt Gerron, Marlene Dietrich, Rosa Valetti","Carl Balhaus, Charles Puffy, Eduard von Winterstein, Gerhard Bienert, Hans Roth, Reinhold Bernt, Robert Klein-Lörk, Roland Varno, Rolf Müller, Wilhelm Diegelmann"
Thelma & Louise,Ridley Scott,"Geena Davis, Susan Sarandon","Brad Pitt, Carol Mansell, Christopher McDonald, Harvey Keitel, Jason Beghe, Ken Swofford, Lucinda Jenney, Michael Madsen, Shelly Desai, Sonny Carl Davis, Stephen Polk, Stephen Tobolowsky, Timothy Carhart"
Away from Her,Sarah Polley,"Gordon Pinsent, Julie Christie","Alberta Watson, Andrew Moodie, Carolyn Hetherington, Clare Coulter, Deanna Dezmari, Grace Lynn Kung, Judy Sinclair, Lili Francks, Olympia Dukakis, Stacey LaBerge, Thomas Hauff, Tom Harvey, Wendy Crewson"
The Fallen Idol (re-release),Carol Reed,"Michèle Morgan, Ralph Richardson","Bernard Lee, Bobby Henrey, Dandy Nichols, Denis O'Dea, Geoffrey Keen, Gerard Heinz, Jack Hawkins, James Hayter, Joan Young, Karel Stepanek, Sonia Dresdel, Torin Thatcher, Walter Fitzgerald"
Fat City,John Huston,"Art Aragon, Billy Walker, Candy Clark, Curtis Cokes, Jeff Bridges, Nicholas Colasanto, Sixto Rodriguez, Stacy Keach, Susan Tyrrell, Wayne Mahan","Al Silvani, Álvaro López, Bill Riddle, Carl D. Parker, Ruben Navarro"
Foxtrot,Samuel Maoz,"Aryeh Cherner, Dekel Adin, Gefen Barkai, Lior Ashkenazi, Rami Buzaglo, Ran Buxenbaum, Sarah Adler, Shaul Amir, Shira Haas, Yehuda Almagor, Yonaton Shiray","Aryeh Cherner, Eden Daniel, Eden Gmliel, Ilia Grosz, Itay Exlroad, Yael Eisenberg"
Howards End,James Ivory,"Anthony Hopkins, Emma Thompson","Adrian Ross Magenty, Helena Bonham Carter, Ian Latimer, James Wilby, Jemma Redgrave, Jo Kendall, Joseph Bennett, Mary Nash, Prunella Scales, Samuel West, Siegbert Prawer, Susie Lindeman, Vanessa Redgrave"
The Innocents,Jack Clayton,"Deborah Kerr, Peter Wyngarde","Clytie Jessop, Eric Woodburn, Isla Cameron, Martin Stephens, Megs Jenkins, Michael Redgrave, Pamela Franklin"
Inside Job,Charles Ferguson,Matt Damon,Matt Damon
The Father,Florian Zeller,"Adnan Kundi, Anthony Hopkins, Evie Wray, Imogen Poots, Mark Gatiss, Olivia Colman, Olivia Williams, Ray Burnet, Rufus Sewell",
Leave No Trace,Debra Granik,"Alyssa Lynn, Ayanna Berkshire, Ben Foster, Dale Dickey, Dana Millican, Derek John Drescher, Erik McGlothlin, Isaiah Stone, Jeff Kober, Jeffery Rifflard, Kyle Stoltz, Lane Stiemsma, Michael Draper, Peter James DeLuca, Peter Simpson, Ryan Joiner, Thomasin McKenzie","Alyssa Lynn, Art Hickman, Bob Werfelman, David Pittman, Eric Sahlstrom, Jeff Kober, Jeffery Rifflard, Kyle Stoltz, Lane Stiemsma, Michael J. Prosser, Peter Simpson, Sabina Mach, Spencer S. Hanley, Stephanie Barton-Farcas, Tamera Westlake, Thomasin McKenzie, Tony Ruiz, Zack Leary"
Three Colors: White,Krzysztof Kieslowski,"Julie Delpy, Zbigniew Zamachowski","Aleksander Bardini, Barbara Dziekan, Cezary Harasimowicz, Cezary Pazura, Francis Coffinet, Grzegorz Warchol, Janusz Gajos, Jerzy Nowak, Jerzy Stuhr, Jerzy Trela, Michel Lisowski, Philippe Morier-Genoud, Piotr Machalica"
Chicken Run,"Nick Park, Peter Lord","Julia Sawalha, Mel Gibson","Benjamin Whitrow, Imelda Staunton, Jane Horrocks, Jo Allen, John Sharian, Laura Strachan, Lisa Kay, Lynn Ferguson, Miranda Richardson, Penélope Cruz, Phil Daniels, Timothy Spall, Tony Haygarth"
The King's Speech,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter","Anthony Andrews, Calum Gittins, Derek Jacobi, Dominic Applewhite, Eve Best, Filippo Delaunay, Freya Wilson, Guy Pearce, Harry Sims, Jennifer Ehle, Max Callum, Michael Gambon, Tim Downie, Timothy Spall"
Hell or High Water,David Mackenzie,,"Alma Sisneros, Amber Midthunder, Ben Foster, Buck Taylor, Chris Pine, Crystal Gonzales, Dale Dickey, Dylan Kenin, Gil Birmingham, Gregory Cruz, Howard Ferguson Jr., J. Nathan Simmons, Jackamoe Buzzell, Jeff Bridges, Joe Berryman, John-Paul Howard, Katy Mixon, Keith Meriweather, Kevin Rankin, Kristin Berg, Lora Martinez-Cunningham, Marin Ireland, Melanie Papalia, Ricky Lee, Taylor Sheridan, William Sterchi"
Up,"Bob Peterson, Pete Docter","Edward Asner, John Ratzenberger, Jordan Nagai","Bob Peterson, Christopher Plummer, Danny Mann, David Kaye, Delroy Lindo, Donald Fullilove, Elie Docter, Jeremy Leary, Jerome Ranft, Jess Harnell, Josh Cooley, Mickie McGowan"
Shirkers,Sandi Tan,"Ben Harrison, Georges Cardona, Grace Dane Mazur, Jasmine Kin Kia Ng, Philip Cheah, Sandi Tan, Sophia Siddique Harvey, Stephen Tyler",
Mildred Pierce,Michael Curtiz,"Ann Blyth, Bruce Bennett, Eve Arden, Jack Carson, Jo Ann Marlowe, Joan Crawford, Lee Patrick, Moroni Olsen, Veda Ann Borg, Zachary Scott","Betty Alexander, Bill Alcorn, George Anderson, James Anderson, Ramsay Ames"
45365,"Bill Ross IV, Turner Ross",,
Tootsie,Sydney Pollack,Dustin Hoffman,"Bill Murray, Charles Durning, Dabney Coleman, Debra Mooney, Doris Belack, Ellen Foley, Geena Davis, George Gaynes, Jessica Lange, Lynne Thigpen, Peter Gatto, Ronald L. Schwary, Sydney Pollack, Teri Garr"
Marooned in Iraq,Bahman Ghobadi,,"Allah-Morad Rashtian, Bahram Sarbazi, Faegh Mohamadi, Fathollah Sa'edi, Hossein Rashid-Ghamat, Iran Ghobadi, Mariam Pouyani, Rojan Hosseini, Saeed Mohammadi, Shahab Ebrahimi"
To Kill a Mockingbird,Robert Mulligan,Gregory Peck,"Alice Ghostley, Brock Peters, Collin Wilcox Paxton, Crahan Denton, Estelle Evans, Frank Overton, James Anderson, John Megna, Paul Fix, Richard Hale, Robert Duvall, Rosemary Murphy, Ruth White, William Windom"
Aquarius,Kleber Mendonça Filho,,"Barbara Colen, Buda Lira, Carla Ribas, Daniel Porpino, Fernando Teixeira, Germano Melo, Humberto Carrão, Irandhir Santos, Julia Bernat, Maeve Jinkings, Paula De Renor, Pedro Queiroz, Rubens Santos, Sônia Braga, Taylor Moore Silzer, Thaia Perez, Zoraide Coleto"
"So Long, My Son",Xiaoshuai Wang,"Cheng Xu, Jiang Du, Jingjing Li, Liya Ai, Mei Yong, Roy Wang, Wang Jinchun, Xi Qi, Zhao-Yan Guo-Zhang",
Apollo 11,Todd Douglas Miller,"Buzz Aldrin, Charles Duke, Clifford E. Charlesworth, Jack Benny, Janet Armstrong, Joan Ann Archer, Johnny Carson, Michael Collins, Neil Armstrong, Walter Cronkite","Bruce McCandless II, Charles Duke, Gene Kranz, Glynn Lunney, Jim Lovell, Lyndon Johnson"
Anomalisa,"Charlie Kaufman, Duke Johnson","David Thewlis, Jennifer Jason Leigh, Tom Noonan","David Thewlis, Jennifer Jason Leigh, Tom Noonan"
Toy Story 2,"Ash Brannon, John Lasseter, Lee Unkrich","Tim Allen, Tom Hanks","Annie Potts, Don Rickles, Estelle Harris, Jim Varney, Joan Cusack, Jodi Benson, Joe Ranft, John Morris, John Ratzenberger, Kelsey Grammer, Laurie Metcalf, Wallace Shawn, Wayne Knight"
Black Panther,Ryan Coogler,"Andy Serkis, Angela Bassett, Chadwick Boseman, Danai Gurira, Daniel Kaluuya, Forest Whitaker, Letitia Wright, Lupita Nyong'o, Martin Freeman, Michael B. Jordan, Stan Lee, Sterling K. Brown, Winston Duke","Andy Serkis, Angela Bassett, Atandwa Kani, Bambadjan Bamba, Cecil M. Henry, Chadwick Boseman, Danai Gurira, Daniel Kaluuya, David S. Lee, Florence Kasumba, Forest Whitaker, Isaach De Bankolé, Jeremy Sample, John Kani, Letitia Wright, Lupita Nyong'o, Martin Freeman, Michael B. Jordan, Michael David Yuhl, Phylicia Rashad, Sebastian Stan, Stan Lee, Sterling K. Brown, Sydelle Noel, Winston Duke"
Brooklyn,John Crowley,"Jim Broadbent, Julie Walters, Saoirse Ronan","Aine Ni Mhuiri, Alisha Heng, Alisha Reis, Barbara Drennan, Brid Brennan, Domhnall Gleeson, Eileen O'Higgins, Emily Bett Rickards, Emma Lowe, Emory Cohen, Eva Birthistle, Eve Macklin, Fiona Glascott, Gillian McCarthy, Hugh Gormley, James Corscadden, Jane Brennan, Jenn Murray, Jim Broadbent, Julie Walters, Karen Belfo, Maeve McGrath, Mary O'Driscoll, Matt Glynn, Michael Zegen, Nora-Jane Noone, Paulino Nuñes, Peter Campion, Saoirse Ronan"
Nobody Knows,Hirokazu Koreeda,"Ayu Kitaura, Hiei Kimura, Momoko Shimizu, Yûya Yagira","Hanae Kan, Kazuyoshi Kushida, Ken'ichi Endô, Ryo Kase, Sei Hiraizumi, Susumu Terajima, Takako Tate, You, Yûichi Kimura, Yukiko Okamoto"
Life Is Sweet,Mike Leigh,"Alison Steadman, Jim Broadbent","Claire Skinner, David Neilson, David Thewlis, Harriet Thorpe, Jack Thorpe-Baker, Jane Horrocks, Moya Brady, Paul Trussel, Stephen Rea, Timothy Spall"
Faces,John Cassavetes,"Darlene Conley, Dorothy Gulliver, Fred Draper, Gena Rowlands, Gene Darfler, Joanne Moore Jordan, John Marley, Lynn Carlin, Seymour Cassel, Val Avery","Anita White, Ann Shirley, Dave Mazzie, Elizabeth Deering, Julie Gambol"
Mary Poppins,Robert Stevenson,"Dick Van Dyke, Julie Andrews","Arthur Malet, Arthur Treacher, David Tomlinson, Ed Wynn, Elsa Lanchester, Glynis Johns, Hermione Baddeley, James Logan, Jane Darwell, Karen Dotrice, Matthew Garber, Reginald Owen, Reta Shaw"
The Lord of the Rings: The Two Towers,Peter Jackson,Andy Serkis,"Bernard Hill, Billy Boyd, Brad Dourif, Bruce Allpress, Bruce Hopkins, Calum Gittins, Cate Blanchett, Christopher Lee, Ian McKellen, Jed Brophy, John Bach, Orlando Bloom, Paris Howe Strewe, Sala Baker, Sam Comery, Sean Astin"
L'Enfant (The Child),"Jean-Pierre Dardenne, Luc Dardenne","Déborah François, Jérémie Renier","Anne Gerard, Bernard Marbaix, Delphine Tomson, Fabrizio Rongione, François Olivier, Frédéric Bodson, Jean-Claude Boniverd, Jérémie Segard, Leon Michaux, Marie-Rose Roland, Olivier Gourmet, Samuel De Ryck, Stéphane Marsin"
Sweet Country,Warwick Thornton,"Anni Finsterer, Bryan Brown, Ewen Leslie, Gibson John, Hamilton Morris, Lachlan J. Modrzynski, Matt Day, Natassia Gorey Furber, Sam Neill, Tremayne Doolan, Trevon Doolan","Sam Neill, Sotiris Tzelios, Thomas M. Wright"
Jane Fonda in Five Acts,Susan Lacy,"Dick Cavett, Jane Fonda, Lily Tomlin, Mary Luana Williams, Nathalie Vadim, Paula Weinstein, Richard Nixon, Robert Redford, Ted Turner, Tom Hayden, Troy Garity",Mary Luana Williams
Newtown,Kim A. Snyder,,
Poetry,Chang-dong Lee,,"Da-wit Lee, Hira Kim, Jeong-hie Yun, Nae-sang Ahn, Yong-taek Kim"
Restless Creature: Wendy Whelan,"Adam Schlesinger, Linda Saffire",Wendy Whelan,Wendy Whelan
Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"Amy Ryan, Andrea Riseborough, Edward Norton, Emma Stone, Michael Keaton, Naomi Watts, Zach Galifianakis","Akira Ito, Amy Ryan, And Palladino, Andrea Riseborough, Anna Hardwick, Benjamin Kanes, Bill Camp, Bomber Hurley-Smith, Carrie Ormond, Clark Middleton, Damian Young, David Fierro, David Itchkawitz, Dusan Dukic, Edward Norton, Emma Stone, Jamahl Garrison-Lowe, Jeremy Shamos, Joel Garland, Katherine O'Sullivan, Keenan Shimizu, Kelli Wilcoxen, Kelly Southerland, Kenny Chin, Lindsay Duncan, Marian Volk, Merritt Wever, Michael Keaton, Naomi Watts, Natalie Gold, Paula Blum, Raymond Mamrak, Stefanie Bari, Stefano Villabona, Teena Byrd, Zach Galifianakis"
Little Women,Gillian Armstrong,"Claire Danes, Kirsten Dunst, Susan Sarandon, Winona Ryder","Christian Bale, Corrie Clark, Eric Stoltz, Florence Patterson, Gabriel Byrne, John Neville, Mary Wickes, Rebecca Toolan, Robin Collins, Samantha Mathis, Trini Alvarado"
Shakespeare in Love,John Madden,"Geoffrey Rush, Joseph Fiennes","Antony Sher, Bridget McConnell, Georgie Glen, Judi Dench, Martin Clunes, Nicholas Boulton, Patrick Barlow, Sandra Reinton, Simon Callow, Steven Beard, Steven O'Donnell, Tim McMullan, Tom Wilkinson"
The Awful Truth,Leo McCarey,"Alexander D'Arcy, Cary Grant, Cecil Cunningham, Esther Dale, Irene Dunne, Joyce Compton, Molly Lamont, Ralph Bellamy, Robert Allen, Robert Warwick","Al Bridge, Claud Allister, Mary Forbes, Ruth Cherrington, Wyn Cahoon"
Can You Ever Forgive Me?,Marielle Heller,"Alice Kremelberg, Anna Deavere Smith, Ben Falcone, Christian Navarro, Dolly Wells, Erik LaRay Harvey, Gregory Korostishevsky, Jane Curtin, Jennifer Westfeldt, Joanna Adler, Julie Ann Emery, Marc Evan Jackson, Melissa McCarthy, Michael Cyril Creighton, Pun Bandhu, Richard E. Grant, Shae D'Lyn, Stephen Spinella","Alice Kremelberg, Anna Deavere Smith, Anne Hollister, Ben Rauch, Brandon Scott Jones, Dolly Wells, Joanna Adler, Kevin Carolan, Marc Evan Jackson, Marcus Choi, Mary B. McCann, Michael Cyril Creighton, Michael Laurence, Moisés Acevedo, Rosal Colon, Shae D'Lyn, Stephen Spinella, Tiffany Blair"
Wolfwalkers,"Ross Stewart, Tomm Moore","Amy Dunne, Eva Whittaker, Honor Kneafsey, John Morton, Jon Kenny, Maria Doyle Kennedy, Niamh Moyles, Nora Twomey, Oliver McGrath, Paul Young, Sean Bean, Simon McBurney, Tommy Tiernan","Ben Andrews, Gilly Fogg, Jerome Burelbach, Jon Kenny, Michael McGrath, Niamh Moyles, Nora Twomey, Oliver McGrath, Paul Young, Vince Drews"
It Happened One Night,Frank Capra,"Alan Hale, Arthur Hoyt, Blanche Friderici, Charles C. Wilson, Clark Gable, Claudette Colbert, Ernie Adams, Jameson Thomas, Roscoe Karns, Walter Connolly","Harry C. Bradley, Irving Bacon, Jessie Arnold, Ward Bond, William Bailey"
The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Aidan Dee, Anthony Bolognese, Barbara Eve Harris, Charlie Hannah, Elle-Máijá Tailfeathers, James Angus Cowan, Jay Cardinal Villeneuve, Sonny Surowiec, Tony Massil, Violet Nelson","Anesha Bailey, Charles Jarman, Glenn Cho, Joan Boisjoly, Paul Jarrett"
The Missing Picture,Rithy Panh,,Randal Douc
"I Travel Because I Have to, I Come Back Because I Love You","Karim Ainouz, Marcelo Gomes",,Irandhir Santos
The Invisible Man,James Whale,"Claude Rains, Dudley Digges, E.E. Clive, Forrester Harvey, Gloria Stuart, Harry Stubbs, Henry Travers, Holmes Herbert, Una O'Connor, William Harrigan","Donald Stuart, Merle Tottenham, Robert Adair, Ted Billings, Walter Brennan"
Scarface,"Howard Hawks, Richard Rosson","Ann Dvorak, Boris Karloff, C. Henry Gordon, George Raft, Karen Morley, Osgood Perkins, Paul Muni, Purnell Pratt, Tully Marshall, Vince Barnett","Edwin Maxwell, Eugenie Besserer, Gus Arnheim, Henry Armetta, Inez Palange"
Of Men and War,Laurent Bécue-Renard,,
The Long Goodbye,Robert Altman,"David Arkin, Elliott Gould, Henry Gibson, Jim Bouton, Jo Ann Brody, Mark Rydell, Nina van Pallandt, Stephen Coit, Sterling Hayden, Warren Berlinger","Enrique Lucero, Jack Knight, Pancho Córdova, Pepe Callahan, Vincent Palmieri"
Imitation of Life,Douglas Sirk,"Dan O'Herlihy, John Gavin, John Vivyan, Juanita Moore, Karin Dicker, Lana Turner, Robert Alda, Sandra Dee, Susan Kohner, Terry Burnham","Ann Robinson, David Tomack, Lee Goodman, Sandra Gould, Troy Donahue"
Pain and Glory,Pedro Almodóvar,"Agustín Almodóvar, Antonio Banderas, Asier Etxeandia, Asier Flores, Cecilia Roth, César Vicente, Eva Martín, Julián López, Julieta Serrano, Leonardo Sbaraglia, Nora Navas, Penélope Cruz, Raúl Arévalo, Rosalía, Susi Sánchez","Agustín Almodóvar, Alba García, César Vicente, Eva Martín, Julián López, Pedro Casablanc, Raúl Arévalo, Sara Sierra, Susi Sánchez"
Genèse (Genesis),Philippe Lesage,"Antoine Marchand Gagnon, Ariane L'Heureux, Brett Dier, Émile Bilodeau, Emilie Bierre, Étienne Galloy, Marc Beaupré, Marie Jasmina, Noée Abita, Paul Ahmarani, Pier-Luc Funk","Ariane L'Heureux, Guillaume Laurin, Jean-Simon Leduc, Mylène Mackay, Noémi Lira, Tayna V. Lavoie"
The Farthest,Emer Reynolds,"Carolyn Porco, Charley Kohlhase, Edward Stone, Fran Bagenal, Frank Drake, John Casani, Larry Soderblom, Lawrence Krauss, Nick Sagan, Timothy Ferris","Frank Locatell, Heidi Hammel, James F. Bell, Jon Lomberg, Suzanne Dodd"
Gomorrah,Matteo Garrone,"Gianfelice Imparato, Salvatore Abruzzese, Toni Servillo","Angelo Aliberti, Antonio Aiello, Antonio Amato, Carmine Paternoster, Ciro Petrone, Denis Bajrami, Dora Angelone, Gigio Morra, Marco Macor, Maria Nazionale, Salvatore Cantalupo, Vincenzo Altamura"
To Be and to Have,Nicolas Philibert,,"Alizé, Axel, Franck, Georges Lopez, Guillaume, Jessie, Johan, Johann, Jonathan, Julien, Laura, Létitia, Marie-Elizabeth, Nathalie, Olivier"
Halloween,John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Tony Moran","Adam Hollander, Arthur Malet, Brent Le Page, Brian Andrews, Charles Cyphers, John Michael Graham, Kyle Richards, Mickey Yablans, Nancy Kyes, Nancy Stephens, P.J. Soles, Robert Phalen"
Eraserhead,David Lynch,"Allen Joseph, Charlotte Stewart, Jack Fisk, Jack Nance, Jean Lange, Jeanne Bates, Judith Roberts, Laurel Near, Thomas Coulson, V. Phipps-Wilson","Darwin Joston, Hal Landon Jr., Jennifer Chambers Lynch, John Monez, T. Max Graham"
Medium Cool,Haskell Wexler,"Bob McAndrew, Charles Geary, Christine Bergstrom, Harold Blankenship, Marianna Hill, Peter Bonerz, Robert Forster, Sid McCoy, Verna Bloom, William Sickingen","Beverly Younger, Doug Kimball, Edward Croke, Marrian Walters, Peter Boyle"
Fire at Sea,Gianfranco Rosi,,"Francesco Mannino, Francesco Paterna, Giuseppe Fragapane, Maria Costa, Maria Signorello, Mattias Cucina, Pietro Bartolo, Samuele Caruana, Samuele Pucillo"
